LATITUDE,LONGITUDE
40.7533873,-73.996304
40.6778985,-73.7513595
40.7341354,-73.8691738
40.7445903,-73.8846678
40.5834503,-73.9503862
40.640239,-73.9194608
40.8232596,-73.9429233
40.6281676,-73.9278657
40.706355,-73.9318965
40.7220898,-73.7579735
40.8454106,-73.8911253
40.8481201,-73.9308839
40.7428639,-74.0039696
40.8172207,-73.9192394
40.7161723,-73.9595114
40.8490749,-73.8828818
40.6252876,-74.0774123
40.7077158,-73.802787
40.7696387,-73.9918914
40.7541542,-73.9803938
40.771024,-73.9536474
40.7613858,-73.8352858
40.7037702,-73.8052116
40.7264942,-74.0023487
40.7093326,-73.9224829
40.825213,-73.9077793
40.7063637,-73.8167205
40.7816666,-73.827707
40.6529324,-73.7320382
40.7158658,-73.8986021
40.769919,-73.9167696
40.6102417,-73.9923934
40.6990725,-73.9354706
40.8470042,-73.8447207
40.7244356,-73.8692939
40.8789244,-73.9047866
40.7408734,-73.9879831
40.6952888,-73.9433863
40.7259798,-73.8214758
40.7523184,-73.8323919
40.7187759,-73.9956999
40.7066326,-73.8065882
40.6635186,-73.9572076
